t, ir, imu 
67.64000, 274.00000, 21558.00000
67.69000, 274.00000, 21576.00000
67.74000, 275.00000, 21624.00000
67.79000, 276.00000, 21404.00000
67.84000, 276.00000, 20466.00000
67.89000, 277.00000, 16746.00000
67.94000, 276.00000, 17768.00000
67.99000, 276.00000, 20490.00000
68.04000, 275.00000, 20380.00000
68.09000, 277.00000, 22142.00000
68.14000, 274.00000, 22944.00000
68.19000, 273.00000, 23270.00000
68.24000, 269.00000, 23310.00000
68.29000, 276.00000, 23138.00000
68.34000, 275.00000, 22690.00000
68.39000, 274.00000, 22326.00000
68.44000, 274.00000, 21982.00000
68.49000, 274.00000, 21708.00000
68.54000, 274.00000, 21486.00000
68.59000, 274.00000, 21430.00000
68.64000, 273.00000, 21218.00000
68.69000, 265.00000, 21254.00000
68.74000, 273.00000, 21292.00000
68.79000, 264.00000, 21338.00000
68.84000, 276.00000, 21502.00000
68.89000, 278.00000, 23824.00000
68.94000, 278.00000, 22764.00000
68.99000, 275.00000, 21886.00000
69.04000, 278.00000, 19570.00000
69.09000, 277.00000, 21526.00000
69.14000, 280.00000, 21808.00000
69.19000, 277.00000, 21536.00000
69.24000, 273.00000, 21660.00000
69.29000, 279.00000, 21892.00000
69.34000, 278.00000, 21560.00000
69.39000, 279.00000, 21610.00000
69.44000, 272.00000, 21816.00000
69.49000, 272.00000, 21704.00000
69.54000, 263.00000, 22062.00000
69.59000, 283.00000, 21526.00000
69.64000, 282.00000, 21148.00000
69.69000, 281.00000, 22582.00000
69.74000, 275.00000, 21562.00000
69.79000, 277.00000, 21876.00000
69.84000, 262.00000, 21576.00000
69.89000, 258.00000, 21684.00000
69.94000, 252.00000, 21684.00000
69.99000, 250.00000, 21470.00000
70.04000, 221.00000, 21654.00000
70.09000, 239.00000, 21712.00000
70.14000, 246.00000, 21510.00000
70.19000, 247.00000, 21472.00000
70.24000, 219.00000, 21626.00000
70.29000, 245.00000, 21796.00000
70.34000, 246.00000, 21530.00000
70.39000, 246.00000, 21670.00000
70.44000, 235.00000, 21456.00000
70.49000, 247.00000, 21516.00000
70.54000, 243.00000, 21420.00000
70.59000, 244.00000, 21624.00000
70.64000, 235.00000, 21498.00000
70.69000, 244.00000, 21566.00000
70.74000, 245.00000, 21750.00000
70.79000, 242.00000, 21524.00000
70.84000, 221.00000, 21684.00000
70.89000, 232.00000, 21608.00000
70.94000, 242.00000, 21640.00000
70.99000, 244.00000, 21682.00000
71.04000, 220.00000, 21588.00000
71.09000, 242.00000, 21650.00000
71.14000, 240.00000, 21586.00000
71.19000, 240.00000, 21510.00000
71.24000, 213.00000, 21624.00000
71.29000, 241.00000, 21620.00000
71.34000, 242.00000, 21618.00000
71.39000, 240.00000, 21658.00000
71.44000, 213.00000, 21458.00000
71.49000, 240.00000, 21706.00000
71.54000, 242.00000, 21504.00000
71.59000, 241.00000, 21586.00000
71.64000, 231.00000, 21524.00000
71.69000, 241.00000, 21650.00000
71.74000, 240.00000, 21602.00000
71.79000, 240.00000, 21646.00000
71.84000, 214.00000, 21724.00000
71.89000, 241.00000, 22408.00000
71.94000, 242.00000, 22128.00000
71.99000, 240.00000, 20896.00000
72.04000, 219.00000, 21752.00000
72.09000, 243.00000, 21754.00000
72.14000, 245.00000, 21278.00000
72.19000, 249.00000, 21806.00000
72.24000, 226.00000, 23240.00000
72.29000, 249.00000, 21408.00000
72.34000, 246.00000, 20478.00000
72.39000, 261.00000, 22810.00000
72.44000, 254.00000, 21798.00000
72.49000, 276.00000, 21266.00000
72.54000, 286.00000, 21780.00000
72.59000, 293.00000, 21388.00000
72.64000, 274.00000, 20680.00000
72.69000, 304.00000, 21694.00000
72.74000, 298.00000, 21500.00000
72.79000, 300.00000, 21852.00000
72.84000, 271.00000, 24016.00000
72.89000, 287.00000, 26540.00000
72.94000, 274.00000, 26306.00000
72.99000, 269.00000, 19184.00000
73.04000, 266.00000, 13798.00000
73.09000, 260.00000, 18042.00000
73.14000, 262.00000, 21446.00000
73.19000, 264.00000, 21998.00000
73.24000, 263.00000, 21190.00000
73.29000, 273.00000, -1559.00000
73.34000, 269.00000, 14044.00000
73.39000, 261.00000, 22354.00000
73.44000, 258.00000, 22654.00000
73.49000, 258.00000, 22790.00000
73.54000, 252.00000, 23254.00000
73.59000, 253.00000, 22220.00000
73.64000, 252.00000, 22136.00000
73.69000, 249.00000, 22200.00000
73.74000, 250.00000, 22356.00000
73.79000, 249.00000, 22024.00000
73.84000, 249.00000, 22152.00000
73.89000, 247.00000, 21996.00000
73.94000, 245.00000, 22102.00000
73.99000, 241.00000, 22030.00000
74.04000, 219.00000, 22178.00000
74.09000, 238.00000, 22102.00000
74.14000, 236.00000, 22072.00000
74.19000, 230.00000, 22072.00000
74.24000, 235.00000, 21956.00000
74.29000, 232.00000, 22188.00000
74.34000, 230.00000, 22822.00000
74.39000, 230.00000, 24846.00000
74.44000, 223.00000, 22110.00000
74.49000, 215.00000, 18696.00000
74.54000, 216.00000, 19002.00000
74.59000, 215.00000, 22002.00000
74.64000, 220.00000, 22222.00000
74.69000, 211.00000, 11884.00000
74.74000, 230.00000, -27644.00000
74.79000, 231.00000, 23698.00000
74.84000, 230.00000, 23332.00000
74.89000, 230.00000, 22298.00000
74.94000, 228.00000, 22108.00000
74.99000, 226.00000, 21452.00000
75.04000, 225.00000, 22130.00000
75.09000, 228.00000, 21494.00000
75.14000, 226.00000, 22480.00000
75.19000, 226.00000, 22104.00000
75.24000, 225.00000, 22066.00000
75.29000, 226.00000, 21980.00000
75.34000, 223.00000, 22106.00000
75.39000, 224.00000, 21808.00000
75.44000, 226.00000, 22016.00000
75.49000, 223.00000, 22090.00000
75.54000, 224.00000, 21874.00000
75.59000, 224.00000, 22266.00000
75.64000, 226.00000, 22388.00000
75.69000, 226.00000, 22028.00000
75.74000, 201.00000, 21656.00000
75.79000, 224.00000, 21500.00000
75.84000, 223.00000, 22168.00000
75.89000, 226.00000, 21886.00000
75.94000, 224.00000, 21648.00000
75.99000, 224.00000, 22126.00000
76.04000, 221.00000, 22080.00000
76.09000, 221.00000, 22070.00000
76.14000, 225.00000, 22054.00000
76.19000, 223.00000, 22008.00000
76.24000, 206.00000, 22012.00000
76.29000, 224.00000, 22030.00000
76.34000, 223.00000, 22022.00000
76.39000, 223.00000, 21992.00000
76.44000, 225.00000, 22098.00000
76.49000, 225.00000, 21970.00000
76.54000, 222.00000, 22032.00000
76.59000, 224.00000, 22044.00000
76.64000, 224.00000, 22206.00000
76.69000, 223.00000, 22150.00000
76.74000, 221.00000, 22210.00000
76.79000, 222.00000, 22122.00000
76.84000, 221.00000, 22184.00000
76.89000, 205.00000, 22038.00000
76.94000, 216.00000, 22140.00000
76.99000, 223.00000, 22038.00000
77.04000, 222.00000, 22178.00000
77.09000, 221.00000, 22064.00000
77.14000, 213.00000, 22108.00000
77.19000, 217.00000, 22034.00000
77.24000, 198.00000, 22114.00000
77.29000, 201.00000, 22118.00000
77.34000, 209.00000, 22114.00000
77.39000, 202.00000, 19798.00000
77.44000, 192.00000, 21360.00000
77.49000, 185.00000, 19874.00000
77.54000, 190.00000, 20344.00000
77.59000, 182.00000, 24552.00000
77.64000, 174.00000, 23722.00000
77.69000, 170.00000, 25352.00000
77.74000, 172.00000, 24998.00000
77.79000, 170.00000, 23064.00000
77.84000, 172.00000, 22394.00000
77.89000, 176.00000, 21926.00000
77.94000, 175.00000, 22068.00000
77.99000, 178.00000, 26016.00000
78.04000, 183.00000, 31418.00000
78.09000, 183.00000, 22344.00000
78.14000, 188.00000, 20500.00000
78.19000, 195.00000, 21564.00000
78.24000, 180.00000, 26400.00000
78.29000, 170.00000, 24920.00000
78.34000, 185.00000, 23686.00000
78.39000, 185.00000, 23602.00000
78.44000, 184.00000, 23752.00000
78.49000, 182.00000, 24678.00000
78.54000, 180.00000, 24538.00000
78.59000, 184.00000, 24276.00000
78.64000, 177.00000, 23866.00000
78.69000, 186.00000, 24342.00000
78.74000, 184.00000, 24592.00000
78.79000, 183.00000, 24728.00000
78.84000, 188.00000, 25170.00000
78.89000, 189.00000, 24132.00000
78.94000, 190.00000, 22422.00000
78.99000, 192.00000, 22456.00000
79.04000, 189.00000, 23942.00000
79.09000, 192.00000, 23862.00000
79.14000, 199.00000, 22394.00000
79.19000, 199.00000, 21946.00000
79.24000, 200.00000, 22590.00000
79.29000, 201.00000, 21876.00000
79.34000, 201.00000, -31018.00000
79.39000, 207.00000, 24266.00000
79.44000, 213.00000, 21382.00000
79.49000, 224.00000, 25308.00000
79.54000, 223.00000, 19442.00000
79.59000, 205.00000, 21308.00000
79.64000, 200.00000, 22848.00000
79.69000, 217.00000, 22152.00000
79.74000, 213.00000, 22088.00000
79.79000, 195.00000, 22240.00000
79.84000, 212.00000, 21924.00000
79.89000, 202.00000, 22138.00000
79.94000, 199.00000, 22526.00000
79.99000, 199.00000, 23054.00000
80.04000, 210.00000, 22886.00000
80.09000, 208.00000, 22688.00000
80.14000, 184.00000, 22182.00000
80.19000, 183.00000, 23772.00000
80.24000, 204.00000, 21354.00000
80.29000, 206.00000, 26746.00000
80.34000, 203.00000, 25634.00000
80.39000, 203.00000, 22532.00000
80.44000, 199.00000, 21868.00000
80.49000, 204.00000, 24148.00000
80.54000, 206.00000, 24240.00000
80.59000, 207.00000, 24416.00000
80.64000, 208.00000, 22132.00000
80.69000, 209.00000, 21998.00000
80.74000, 206.00000, 22450.00000
80.79000, 207.00000, 24452.00000
80.84000, 207.00000, 21970.00000
80.89000, 191.00000, 22064.00000
80.94000, 206.00000, 21976.00000
80.99000, 207.00000, 27838.00000
81.04000, 207.00000, 23258.00000
81.09000, 205.00000, 22012.00000
81.14000, 184.00000, 22228.00000
81.19000, 209.00000, 22104.00000
81.24000, 210.00000, 22098.00000
81.29000, 210.00000, 22134.00000
81.34000, 195.00000, 22126.00000
81.39000, 208.00000, 22088.00000
81.44000, 207.00000, 22142.00000
81.49000, 210.00000, 22110.00000
81.54000, 209.00000, 22170.00000
81.59000, 210.00000, 22066.00000
81.64000, 212.00000, 22082.00000
81.69000, 215.00000, 22088.00000
81.74000, 219.00000, 22036.00000
81.79000, 218.00000, 22076.00000
81.84000, 227.00000, 21996.00000
81.89000, 227.00000, 22182.00000
81.94000, 228.00000, 22074.00000
81.99000, 226.00000, 22080.00000
82.04000, 228.00000, 22184.00000
82.09000, 228.00000, 22128.00000
82.14000, 228.00000, 22188.00000
82.19000, 224.00000, 22026.00000
82.24000, 229.00000, 22156.00000
82.29000, 226.00000, 22180.00000
82.34000, 226.00000, 22138.00000
82.39000, 226.00000, 22140.00000
82.44000, 226.00000, 22172.00000
82.49000, 224.00000, 22100.00000
82.54000, 222.00000, 22046.00000
82.59000, 207.00000, 22156.00000
82.64000, 226.00000, 22128.00000
82.69000, 224.00000, 22098.00000
82.74000, 225.00000, 22154.00000
82.79000, 224.00000, 22138.00000
82.84000, 222.00000, 22146.00000
82.89000, 225.00000, 22148.00000
82.94000, 217.00000, 22124.00000
82.99000, 224.00000, 22160.00000
83.04000, 222.00000, 22068.00000
83.09000, 219.00000, 22054.00000
83.14000, 212.00000, 22172.00000
83.19000, 223.00000, 22130.00000
83.24000, 224.00000, 22160.00000
83.29000, 212.00000, 22116.00000
83.34000, 225.00000, 22078.00000
83.39000, 222.00000, 22128.00000
83.44000, 224.00000, 22028.00000
83.49000, 209.00000, 22016.00000
83.54000, 224.00000, 22112.00000
83.59000, 223.00000, 22046.00000
83.64000, 224.00000, 22100.00000
83.69000, 219.00000, 22088.00000
83.74000, 210.00000, 22030.00000
83.79000, 222.00000, 22072.00000
83.84000, 223.00000, 22140.00000
83.89000, 224.00000, 22268.00000
83.94000, 223.00000, 22014.00000
83.99000, 222.00000, 22218.00000
84.04000, 223.00000, 21970.00000
84.09000, 223.00000, 22124.00000
84.14000, 222.00000, 22022.00000
84.19000, 224.00000, 22162.00000
84.24000, 223.00000, 22094.00000
84.29000, 198.00000, 22150.00000
84.34000, 221.00000, 22050.00000
84.39000, 224.00000, 21992.00000
84.44000, 222.00000, 22128.00000
84.49000, 224.00000, 22038.00000
84.54000, 222.00000, 22168.00000
84.59000, 224.00000, 22064.00000
84.64000, 222.00000, 22216.00000
84.69000, 224.00000, 21994.00000
84.74000, 223.00000, 22230.00000
84.79000, 223.00000, 22072.00000
84.84000, 224.00000, 22152.00000
84.89000, 223.00000, 22102.00000
84.94000, 223.00000, 22078.00000
84.99000, 214.00000, 22090.00000
85.04000, 221.00000, 22180.00000
85.09000, 224.00000, 22054.00000
85.14000, 201.00000, 22156.00000
85.19000, 224.00000, 22192.00000
85.24000, 223.00000, 22162.00000
85.29000, 224.00000, 22040.00000
85.34000, 223.00000, 22142.00000
85.39000, 223.00000, 22182.00000
85.44000, 226.00000, 21966.00000
85.49000, 224.00000, 22110.00000
85.54000, 222.00000, 22116.00000
85.59000, 225.00000, 22026.00000
85.64000, 227.00000, 22136.00000
85.69000, 226.00000, 22116.00000
85.74000, 223.00000, 22042.00000
85.79000, 225.00000, 22224.00000
85.84000, 227.00000, 22126.00000
85.89000, 227.00000, 22098.00000
85.94000, 221.00000, 22100.00000
85.99000, 217.00000, 22152.00000
86.04000, 227.00000, 22090.00000
86.09000, 226.00000, 22142.00000
86.14000, 227.00000, 22108.00000
86.19000, 226.00000, 22052.00000
86.24000, 227.00000, 22102.00000
86.29000, 212.00000, 22202.00000
86.34000, 227.00000, 22072.00000
86.39000, 223.00000, 22142.00000
86.44000, 227.00000, 22092.00000
86.49000, 224.00000, 22190.00000
86.54000, 227.00000, 22090.00000
86.59000, 227.00000, 22180.00000
86.64000, 227.00000, 22054.00000
86.69000, 213.00000, 22442.00000
86.74000, 224.00000, 22024.00000
86.79000, 226.00000, 22412.00000
86.84000, 229.00000, 22226.00000
86.89000, 227.00000, 22102.00000
86.94000, 226.00000, 22156.00000
86.99000, 229.00000, 22046.00000
87.04000, 229.00000, 21942.00000
87.09000, 228.00000, 22068.00000
87.14000, 228.00000, 22076.00000
87.19000, 229.00000, 22116.00000
87.24000, 217.00000, 22182.00000
87.29000, 229.00000, 22152.00000
87.34000, 229.00000, 22016.00000
87.39000, 228.00000, 22134.00000
