t, reading, IMUVal 
69.36000, 281.00000, 23834.00000 
69.41000, 265.00000, 24700.00000 
69.46000, 258.00000, 26230.00000 
69.51000, 255.00000, 28064.00000 
69.56000, 254.00000, 28926.00000 
69.61000, 254.00000, 31590.00000 
69.66000, 255.00000, 28602.00000 
69.71000, 256.00000, 29916.00000 
69.76000, 256.00000, 32240.00000 
69.81000, 257.00000, 30964.00000 
69.86000, 259.00000, 31416.00000 
69.91000, 261.00000, 29698.00000 
69.96000, 261.00000, 28926.00000 
70.01000, 261.00000, 29306.00000 
70.06000, 263.00000, 29626.00000 
70.11000, 266.00000, 29550.00000 
70.16000, 264.00000, 27984.00000 
70.21000, 263.00000, 26234.00000 
70.26000, 265.00000, 24918.00000 
70.31000, 266.00000, 20746.00000 
70.36000, 269.00000, 17568.00000 
70.41000, 278.00000, 17882.00000 
70.46000, 288.00000, 19276.00000 
70.51000, 304.00000, 22198.00000 
70.56000, 318.00000, 23802.00000 
70.61000, 305.00000, 22194.00000 
70.66000, 268.00000, 20466.00000 
70.71000, 256.00000, 24414.00000 
70.76000, 254.00000, 25664.00000 
70.81000, 253.00000, 25888.00000 
70.86000, 252.00000, 31260.00000 
70.91000, 254.00000, 31502.00000 
70.96000, 255.00000, 32192.00000 
71.01000, 255.00000, 33688.00000 
71.06000, 257.00000, 28488.00000 
71.11000, 262.00000, 28542.00000 
71.16000, 263.00000, 30478.00000 
71.21000, 262.00000, 28710.00000 
71.26000, 262.00000, 31034.00000 
71.31000, 262.00000, 31090.00000 
71.36000, 263.00000, 30908.00000 
71.41000, 265.00000, 29112.00000 
71.46000, 265.00000, 26160.00000 
71.51000, 267.00000, 24946.00000 
71.56000, 270.00000, 21830.00000 
71.61000, 272.00000, 18864.00000 
71.66000, 280.00000, 17478.00000 
71.71000, 287.00000, 18724.00000 
71.76000, 294.00000, 21166.00000 
71.81000, 307.00000, 25352.00000 
71.86000, 319.00000, 23604.00000 
71.91000, 274.00000, 20220.00000 
71.96000, 257.00000, 22548.00000 
72.01000, 252.00000, 22876.00000 
72.06000, 250.00000, 24334.00000 
72.11000, 250.00000, 26974.00000 
72.16000, 251.00000, 30600.00000 
72.21000, 252.00000, 30154.00000 
72.26000, 253.00000, 32812.00000 
72.31000, 254.00000, 33154.00000 
72.36000, 256.00000, 32632.00000 
72.41000, 257.00000, 31376.00000 
72.46000, 258.00000, 26918.00000 
72.51000, 259.00000, 25972.00000 
72.56000, 260.00000, 26184.00000 
72.61000, 262.00000, 27382.00000 
72.66000, 266.00000, 27162.00000 
72.71000, 266.00000, 25032.00000 
72.76000, 264.00000, 24518.00000 
72.81000, 265.00000, 24630.00000 
72.86000, 268.00000, 22134.00000 
72.91000, 271.00000, 18970.00000 
72.96000, 275.00000, 19474.00000 
73.01000, 287.00000, 19648.00000 
73.06000, 298.00000, 23754.00000 
73.11000, 298.00000, 26710.00000 
73.16000, 280.00000, 24600.00000 
73.21000, 261.00000, 20308.00000 
73.26000, 256.00000, 21186.00000 
73.31000, 255.00000, 24992.00000 
73.36000, 255.00000, 27568.00000 
73.41000, 255.00000, 30732.00000 
73.46000, 256.00000, 32172.00000 
73.51000, 256.00000, 34538.00000 
73.56000, 257.00000, 32804.00000 
73.61000, 258.00000, 30404.00000 
73.66000, 260.00000, 29500.00000 
73.71000, 261.00000, 26030.00000 
73.76000, 263.00000, 24280.00000 
73.81000, 262.00000, 26332.00000 
73.86000, 263.00000, 27570.00000 
73.91000, 265.00000, 27632.00000 
73.96000, 267.00000, 27576.00000 
74.01000, 266.00000, 27034.00000 
74.06000, 265.00000, 28170.00000 
74.11000, 266.00000, 26160.00000 
74.16000, 267.00000, 23290.00000 
74.21000, 269.00000, 21458.00000 
74.26000, 272.00000, 22430.00000 
74.31000, 280.00000, 23498.00000 
74.36000, 291.00000, 25296.00000 
74.41000, 304.00000, 24140.00000 
74.46000, 304.00000, 23614.00000 
74.51000, 272.00000, 24794.00000 
74.56000, 261.00000, 25960.00000 
74.61000, 256.00000, 27048.00000 
74.66000, 255.00000, 28568.00000 
74.71000, 256.00000, 29864.00000 
74.76000, 257.00000, 27588.00000 
74.81000, 258.00000, 27172.00000 
74.86000, 258.00000, 28202.00000 
74.91000, 259.00000, 31480.00000 
74.96000, 261.00000, 31450.00000 
75.01000, 263.00000, 31044.00000 
75.06000, 263.00000, 31042.00000 
75.11000, 263.00000, 32712.00000 
75.16000, 263.00000, 33082.00000 
75.21000, 263.00000, 32540.00000 
75.26000, 264.00000, 30960.00000 
75.31000, 265.00000, 27738.00000 
75.36000, 265.00000, 25202.00000 
75.41000, 269.00000, 20292.00000 
75.46000, 278.00000, 18840.00000 
75.51000, 287.00000, 18940.00000 
75.56000, 286.00000, 24188.00000 
75.61000, 287.00000, 24416.00000 
75.66000, 299.00000, 24484.00000 
75.71000, 304.00000, 25058.00000 
75.76000, 283.00000, 25178.00000 
75.81000, 266.00000, 25628.00000 
75.86000, 256.00000, 27060.00000 
75.91000, 253.00000, 26002.00000 
75.96000, 253.00000, 28944.00000 
76.01000, 254.00000, 26074.00000 
76.06000, 254.00000, 26402.00000 
76.11000, 254.00000, 29784.00000 
76.16000, 256.00000, 31828.00000 
76.21000, 258.00000, 32624.00000 
76.26000, 260.00000, 31646.00000 
76.31000, 260.00000, 31344.00000 
76.36000, 260.00000, 32232.00000 
76.41000, 260.00000, 33054.00000 
76.46000, 262.00000, 31118.00000 
76.51000, 263.00000, 29516.00000 
76.56000, 264.00000, 27444.00000 
76.61000, 267.00000, 24470.00000 
76.66000, 270.00000, 17410.00000 
76.71000, 274.00000, 19032.00000 
76.76000, 284.00000, 18248.00000 
76.81000, 289.00000, 24324.00000 
