t, ir, imu 
379.04000, 221.00000, 21750.00000
379.09000, 204.00000, 21698.00000
379.14000, 204.00000, 21760.00000
379.19000, 220.00000, 21744.00000
379.24000, 211.00000, 21728.00000
379.29000, 221.00000, 21816.00000
379.34000, 217.00000, 22178.00000
379.39000, 222.00000, 21844.00000
379.44000, 222.00000, 20832.00000
379.49000, 221.00000, 21814.00000
379.54000, 223.00000, 21926.00000
379.59000, 221.00000, 21750.00000
379.64000, 222.00000, 21864.00000
379.69000, 215.00000, 21764.00000
379.74000, 225.00000, 21556.00000
379.79000, 223.00000, 21724.00000
379.84000, 216.00000, 21750.00000
379.89000, 197.00000, 21736.00000
379.94000, 223.00000, 21728.00000
379.99000, 223.00000, 21720.00000
380.04000, 223.00000, 21812.00000
380.09000, 192.00000, 21706.00000
380.14000, 224.00000, 21742.00000
380.19000, 223.00000, 21820.00000
380.24000, 223.00000, 21620.00000
380.29000, 213.00000, 22176.00000
380.34000, 224.00000, 21078.00000
380.39000, 223.00000, 21908.00000
380.44000, 210.00000, 22336.00000
380.49000, 212.00000, 22078.00000
380.54000, 224.00000, 21760.00000
380.59000, 222.00000, 21730.00000
380.64000, 221.00000, 21730.00000
380.69000, 200.00000, 21728.00000
380.74000, 224.00000, 21822.00000
380.79000, 222.00000, 21778.00000
380.84000, 223.00000, 21766.00000
380.89000, 223.00000, 21800.00000
380.94000, 223.00000, 21830.00000
380.99000, 223.00000, 21878.00000
381.04000, 223.00000, 21768.00000
381.09000, 211.00000, 20964.00000
381.14000, 207.00000, 22068.00000
381.19000, 220.00000, 22168.00000
381.24000, 222.00000, 22076.00000
381.29000, 214.00000, 21612.00000
381.34000, 213.00000, 21580.00000
381.39000, 222.00000, 21672.00000
381.44000, 222.00000, 21640.00000
381.49000, 205.00000, 21734.00000
381.54000, 224.00000, 21668.00000
381.59000, 222.00000, 21662.00000
381.64000, 223.00000, 21806.00000
381.69000, 222.00000, 21698.00000
381.74000, 224.00000, 21838.00000
381.79000, 221.00000, 21766.00000
381.84000, 221.00000, 22120.00000
381.89000, 195.00000, 21238.00000
381.94000, 223.00000, 20922.00000
381.99000, 222.00000, 21538.00000
382.04000, 223.00000, 21524.00000
382.09000, 214.00000, 21734.00000
382.14000, 223.00000, 21816.00000
382.19000, 222.00000, 21890.00000
382.24000, 222.00000, 21876.00000
382.29000, 202.00000, 21820.00000
382.34000, 221.00000, 21560.00000
382.39000, 222.00000, 21722.00000
382.44000, 223.00000, 21758.00000
382.49000, 212.00000, 21828.00000
382.54000, 212.00000, 21822.00000
382.59000, 224.00000, 21644.00000
382.64000, 223.00000, 21840.00000
382.69000, 228.00000, 22146.00000
382.74000, 205.00000, 21854.00000
382.79000, 216.00000, 22394.00000
382.84000, 225.00000, 21708.00000
382.89000, 226.00000, 21722.00000
382.94000, 226.00000, 21682.00000
382.99000, 225.00000, 21730.00000
383.04000, 221.00000, 21818.00000
383.09000, 226.00000, 21778.00000
383.14000, 222.00000, 21800.00000
383.19000, 224.00000, 21720.00000
383.24000, 225.00000, 21826.00000
383.29000, 225.00000, 22114.00000
383.34000, 226.00000, 22266.00000
383.39000, 224.00000, 21890.00000
383.44000, 225.00000, 21630.00000
383.49000, 225.00000, 21312.00000
383.54000, 226.00000, 22106.00000
383.59000, 223.00000, 21862.00000
383.64000, 225.00000, 21394.00000
383.69000, 227.00000, 21502.00000
383.74000, 225.00000, 21578.00000
383.79000, 226.00000, 21766.00000
383.84000, 225.00000, 21882.00000
383.89000, 227.00000, 21708.00000
383.94000, 225.00000, 21756.00000
383.99000, 224.00000, 21756.00000
384.04000, 226.00000, 21708.00000
384.09000, 228.00000, 21818.00000
384.14000, 228.00000, 21678.00000
384.19000, 227.00000, 21864.00000
384.24000, 225.00000, 21718.00000
384.29000, 204.00000, 21810.00000
384.34000, 226.00000, 21858.00000
384.39000, 227.00000, 21862.00000
384.44000, 226.00000, 21758.00000
384.49000, 227.00000, 21864.00000
384.54000, 226.00000, 21782.00000
384.59000, 219.00000, 21786.00000
384.64000, 226.00000, 21744.00000
384.69000, 228.00000, 21762.00000
384.74000, 227.00000, 21798.00000
384.79000, 225.00000, 21694.00000
384.84000, 226.00000, 21742.00000
384.89000, 228.00000, 21728.00000
384.94000, 228.00000, 21848.00000
384.99000, 228.00000, 21834.00000
385.04000, 227.00000, 21734.00000
385.09000, 228.00000, 21870.00000
385.14000, 226.00000, 21772.00000
385.19000, 227.00000, 21642.00000
385.24000, 227.00000, 21944.00000
385.29000, 228.00000, 22018.00000
385.34000, 214.00000, 21676.00000
385.39000, 227.00000, 21850.00000
385.44000, 226.00000, 21862.00000
385.49000, 229.00000, 21594.00000
385.54000, 227.00000, 21738.00000
385.59000, 227.00000, 21886.00000
385.64000, 228.00000, 21666.00000
385.69000, 229.00000, 21864.00000
385.74000, 228.00000, 21828.00000
385.79000, 228.00000, 21728.00000
385.84000, 225.00000, 21938.00000
385.89000, 228.00000, 21798.00000
385.94000, 229.00000, 21744.00000
385.99000, 228.00000, 21760.00000
386.04000, 227.00000, 21734.00000
386.09000, 230.00000, 21712.00000
386.14000, 230.00000, 21742.00000
386.19000, 228.00000, 21752.00000
386.24000, 228.00000, 21622.00000
386.29000, 230.00000, 21776.00000
386.34000, 228.00000, 21790.00000
386.39000, 228.00000, 21626.00000
386.44000, 225.00000, 21576.00000
386.49000, 226.00000, 21682.00000
386.54000, 229.00000, 21578.00000
386.59000, 220.00000, 21742.00000
386.64000, 229.00000, 21820.00000
386.69000, 219.00000, 21944.00000
386.74000, 230.00000, 21704.00000
386.79000, 230.00000, 21708.00000
386.84000, 230.00000, 21792.00000
386.89000, 230.00000, 21658.00000
386.94000, 229.00000, 21810.00000
386.99000, 227.00000, 21816.00000
387.04000, 226.00000, 21732.00000
